name,exchange_appearance_date,current_price,max_price,market_capitalization,volatility
Bitcoin,2009-01-03,45000,65000,800000000000,0.05
Ethereum,2015-07-30,3000,4500,350000000000,0.08
Binance Coin,2017-07-25,400,700,70000000000,0.1
Solana,2020-03-20,150,250,15000000000,0.15
Cardano,2017-09-29,15,3,50000000000,0.12
XRP,2012-08-04,1,3,40000000000,0.2
Polkadot,2020-05-26,20,50,10000000000,0.18
Avalanche,2020-09-21,100,200,5000000000,0.25
Dogecoin,2013-12-06,2,1,25000000000,0.3
Tether,2015-02-25,1,1,75000000000,0.01
