name,exchange_appearance_date,current_price,max_price,market_capitalization,volatility
Bitcoin,2009-01-03,46000,65000,800000000000,0.05
Ethereum,2015-07-30,3200,4500,350000000000,0.08
Binance Coin,2017-07-25,4200,7000,70000000000,0.1
Solana,2020-03-20,18000,25000,15000000000,0.15
Cardano,2017-09-29,31500,30000,50000000000,0.12
XRP,2012-08-04,31000,33000,40000000000,0.2
Polkadot,2020-05-26,4200,5000,10000000000,0.18
Avalanche,2020-09-21,12000,24000,5000000000,0.25
Dogecoin,2013-12-06,8500,10000,25000000000,0.3
Tether,2015-02-25,7500,8000,75000000000,0.01
